No. Empleado ,Insight,Energizar y comprometer,Lograr resultados a través de otros,Coaching y desarrollo,Influir con integridad,Coraje
10355463,3.4,3.6,3.6,3.6,3.6,3.6
10456537,4.4,4.6,4.6,4.6,4.6,4.6
10659930,4.4,4.6,4.6,4.6,4.6,4.6
10985821,4.8,4.8,4.6,4.8,4.6,4.8
10263850,4.3,4.8,3.8,3.8,3.8,3.8
1203625,4.8,4.8,4.8,4.8,4.8,4.8
10979224,3.8,4.8,4.3,4.8,3.8,3.8
11054705,4.7,4.8,4.8,4.8,3.6,4.8
11026910,4.6,3.8,2.8,2.6,3.6,4.8
10711864,3.8,3.3,3.8,3.8,3.8,3.8
10816498,4.7,4.8,4.8,3.8,4.8,4.8
10877042,4.3,4.6,4.6,3.6,4.6,4.3
1202652,4.6,4.8,4.7,4.6,4.6,4.6
1200791,4.6,3.8,4.7,4.6,4.8,4.7
10016341,4.1,4.6,4.6,4.6,4.6,4.6
1200750,4.6,4.6,4.6,4.6,4.6,4.6
10430431,4.1,4.6,4.6,4.6,4.6,4.8
10029347,4.4,4.6,4.1,3.6,4.4,4.5
10985829,3.8,4.8,4.8,4.8,3.8,4.8
10389242,4.8,4.8,4.8,4.8,4.8,4.8
10202628,4.8,4.8,4.3,4.8,4.8,4.7
10755257,4.1,4.8,4.8,4.6,3.8,3.8
1203269,4.7,4.8,4.8,4.8,4.8,4.8
1200356,4.8,4.8,4.8,4.8,4.8,4.8
10784820,4.4,4.7,4.5,4.6,4.4,4.6
10308810,3.8,4.8,4.7,4.6,3.8,3.8
10640916,4.3,4.8,4.8,3.8,3.6,4.8
10788442,3.7,4.1,3.6,3.4,3.8,3.1
10788423,4.6,4.6,4.6,3.6,4.6,4.6
10174217,3.6,4.8,3.7,3.6,3.6,3.7
1200838,4.7,3.8,4.8,4.8,4.8,4.8
10210176,4.3,3.8,3.8,3.8,3.8,3.8
1203627,4.1,4.8,3.7,4.6,3.8,4.3
1201361,4.1,4.6,4.6,3.6,4.6,4.6
10779675,4.3,4.8,4.8,3.8,4.8,3.8
10994885,4.1,4.8,4.2,3.6,4.6,4.8
1203026,4.4,4.8,4.1,4.6,4.4,4.6
10690766,3.6,4.8,4.6,4.8,4.8,4.8
10171259,4.6,4.7,4.7,3.6,4.6,4.6
1290359,4,4.6,4.4,4.4,4.4,4.6
10358772,4.5,4,4.5,4.4,4.4,4.6
10673466,4.2,4.8,4.7,3.6,4.6,4.8
10453093,3.6,3.6,3.5,3.6,3.6,4.1
1203686,4.6,4.6,4.6,4.4,4.6,4.6
10789988,4.8,4.8,4.7,4.6,4.8,4.7
10788434,4.6,4.7,4.7,4.6,4.6,4.8
10703449,4.6,4.6,4.6,4.6,4.6,4.6
10796276,4.5,2.9,4.1,3.4,3.6,3.6
1201187,4.1,4.2,4.1,3.6,3.8,3.8
10859634,3.6,4.2,4.7,3.6,3.8,4.3
1200653,4.6,4.8,4.8,4.6,4.6,4.3
10402776,2.5,2.6,2.6,3.6,3.6,2.6
10899133,4.6,4.7,4.6,4.6,4.6,4.2
10672754,4.1,4.6,4.1,3.8,4.4,3.6
10573183,4.6,4.8,4.8,4.6,4.8,4.6
10961003,4,4.6,4,3.6,4.6,3.6
10864571,2.6,3.8,3.7,2.8,4.8,3.8
10257402,4.6,4.6,4.6,4.6,4.6,4.5
11057739,2.7,3.6,3.8,3.8,3.8,3.7
76902,3.1,3.8,3.8,3.6,3.8,3.8
10790990,4.8,4.6,4.8,4.8,4.8,4.8
10880069,3.8,4.8,4.8,4.8,3.8,3.8
10246186,3.6,4.7,4.6,4.8,4.6,4.6
1204109,3.6,3.8,3.8,3.8,3.8,3.8
11004891,4.1,4.8,4.8,3.8,4.8,4.8
10998676,4.6,4.6,4.8,4.8,4.8,4.7
11052266,3.8,4.8,3.8,4.8,4.8,4.8
10783071,4.7,4.6,4.6,4.4,4.6,4.6
10780589,4,4.6,3.5,4.6,4.6,4.6
11052475,3.9,4.6,4.1,3.6,3.6,3.9
10790986,4.6,4.8,4.6,4.8,4.6,4.6
10050063,3.6,4.6,4.6,4.6,4.6,4.1
10977939,4.5,4.8,4.6,4.6,4.6,4.6
10894759,4.1,4.8,4.3,4.8,4.6,3.6
10491677,4.8,4.8,4.8,3.8,4.6,4.8
10174019,4.8,4.8,4.8,4.6,4.6,4.6
10229236,4.6,4.7,4.8,4.6,4.6,4.7
10917765,3.6,4.2,4.3,3.8,4.6,3.6
10399752,4.6,4.7,4.6,3.6,4.6,4.6
10425675,4.6,4.5,3.6,4.6,4.6,4.6
10467232,4.6,4.6,4.6,4.6,4.6,4.6
1201209,4.6,4.6,4.6,4.6,4.6,4.6
10218371,3.6,4.7,4.3,3.6,3.8,3.6
10037860,4.4,4,4.5,4.6,4.4,4.4
11042277,3.7,4.7,4.7,4.4,4.6,4.8
10800318,4.5,4.6,4.6,4.4,4.6,4.1
1203248,4.7,4.8,4.7,4.8,4.8,4.8
11021927,4.4,4.5,4.4,4.4,4.6,4.8
10783024,3.6,4.7,4.6,3.4,4.6,3.8
10847663,4.3,4.4,4.2,4.2,3.4,3.4
10788592,4.6,4.8,4.6,4.6,4.6,4.8
10790910,4.4,4.4,4.4,4.4,4.8,4.6
10789223,2.8,4.5,3.4,4.4,4.4,4.1
11033644,3.2,3.2,2.2,2.2,3.6,3.8
11017939,4.3,4.4,4.2,4.2,4.4,4.4
10565473,4.2,4.6,4.6,3.4,4.6,4.8
10411627,4.2,3.9,4.3,3.2,4.6,4.5
11014970,3.8,4.2,4.4,3.4,4.4,4.6
11033987,2.5,3.8,3.1,3.6,3.6,3.3
10779672,4.5,4.6,4.6,4.6,4.6,4.6
1200621,4.7,4.8,4.3,4.6,4.8,4.7
11004889,3.9,4.7,4.4,3.4,4.4,4.6
10947425,4.6,4.6,4.6,4.6,4.6,4.7
11056715,4.6,4.1,4.6,3.6,3.6,3.6
10496027,4.6,4.7,4.6,4.6,4.6,4.6
10921708,3.6,4.7,4.6,4.6,4.8,4.8
10653824,4.6,4.8,4.4,4.6,4.6,4.6
10800342,3.6,4.8,4.8,4.8,4.8,4.8
10700620,4.8,4.8,4.8,4.8,4.8,4.8
1206936,3.1,4.8,3.8,3.8,3.8,3.8
11014966,3.1,3.4,3.5,3.6,3.6,4.6
10765303,4.7,4.7,4.8,4.8,4.8,4.8
10451189,3.4,3.6,3.6,3.6,4.6,3.6
10425686,4.6,4.1,4.6,4.8,3.8,4.4
10982364,3.1,4.6,4.8,4.4,4.6,4.6
1201819,4.3,4.3,4.2,4.2,4.2,4.2
11014968,4.8,4.8,4.8,4.8,4.8,4.7
10028821,4.2,4.8,4.8,3.8,4.8,4.8
10102370,4.8,4.3,3.8,4.8,4.8,4.8
10482044,4.3,4.6,3.8,3.6,4.6,4.8
10425562,3.3,3.6,3.7,3.8,3.8,3.8
10443807,4.6,4.1,4.1,3.6,4.6,4.6
11048723,3.7,3.7,3.6,2.4,3.8,4.2
10861845,4.6,4.7,4.6,4.6,4.6,4.6
10563366,4.7,4.6,4.8,4.6,4.6,4.7
1201631,4.7,4.8,4.7,4.8,4.8,4.2
10396585,4.6,4.8,4.7,4.6,4.6,4.7
10496841,4.2,4.6,4.6,4.6,4.6,3.6
10482228,4.2,4.8,4.8,3.6,4.6,3.6
10049949,4.6,4.7,4.7,4.8,3.8,4.7
1201931,4.7,4.1,3.6,4.6,3.6,4.2
1200620,4.6,4.7,4.6,4.6,4.4,4.7
10056024,3.7,4.6,3.6,2.6,4.8,4.6
1202701,4.2,4.1,4.6,3.6,4.6,4.6
10463502,4.6,4.8,4.7,4.8,4.8,4.6
10386037,3.4,3.4,2.9,2.4,3.4,2.4
10590221,4.7,4.8,4.8,4.8,4.8,4.8
10490149,4.6,4.6,4.6,3.6,4.6,4.6
10561231,4.7,4.7,3.6,4.4,4.8,4.8
10029367,4.6,4.8,3.6,4.6,4.6,4.6
10840750,4.6,4.6,4.6,4.6,3.8,4.6
10184553,4.6,4.7,4.8,4.6,4.6,4.6
10117212,4.1,4.8,4.7,4.6,4.6,4.7
1202810,3.6,4.7,3.7,3.6,3.6,4.2
10466137,4.3,2.8,3.8,2.8,4.8,3.8
10650941,4.6,4.8,4.6,4.6,4.6,4.6
1201125,4.7,4.8,4.7,4.6,4.8,4.6
