ID,indice
10700623,3.772994468
10329458,3.772812727
10723296,3.772308394
10610712,3.771870097
11004900,3.770536982
10816497,3.769510437
10788977,3.769425924
10755261,3.768782722
10928315,3.766493222
10405731,3.76641104
10117901,3.766319633
10761851,3.765903231
10874810,3.765590646
10994904,3.765425042
10723296,3.764724683
10874354,3.763918977
10396456,3.763504274
10826819,3.762547761
10711824,3.762478859
10933802,3.762454665
10403887,3.761789419
11011348,3.761518556
10408803,3.761476718
10850961,3.761050149
10601627,3.760372548
10504058,3.759051209
10823228,3.758375874
10960991,3.756198995
10913933,3.755146464
10478560,3.755078302
10552185,3.754314945
11021944,3.753876732
10238353,3.7536958
10663338,3.75326575
10813222,3.752778514
10981646,3.751734846
1210003,3.750729372
10679118,3.750038056
10982374,3.749765635
10241599,3.74957217
10653882,3.749227636
10928284,3.748827161
10739824,3.748171222
10438521,3.747038422
1210113,3.746981764
10461070,3.746585943
10852408,3.74653084
11008806,3.74563865
10849718,3.744701679
10941430,3.744283545
10050175,3.743660962
10305338,3.742623752
10327609,3.740963452
10796661,3.738791374
1210461,3.738216463
10883217,3.737511293
11001817,3.737389593
11030397,3.735550258
10779211,3.73540159
10611529,3.733584328
10762725,3.733424261
11020007,3.733041416
10582292,3.731500162
10516186,3.731487721
10729822,3.729619493
10837792,3.729382327
1203860,3.728648723
10210658,3.727891802
10764391,3.727361008
10690815,3.727290763
10548809,3.727180084
10886721,3.72708204
10802726,3.72655703
10913920,3.726445919
10830498,3.725867459
10596033,3.725384521
10697216,3.72535742
10751208,3.724605693
11000461,3.7243828
10826365,3.723845598
10232359,3.723675509
10722357,3.723142475
10759376,3.722910156
1206048,3.722448661
10424596,3.721880427
10883217,3.721151958
10984169,3.720152761
10914421,3.720107406
10898677,3.716200017
1200601,3.715391219
10341147,3.713242541
10844836,3.713200597
10119945,3.712188884
10975040,3.711634226
10802683,3.71156158
10816169,3.711126676
10886042,3.711070958
10803463,3.709443264
10856710,3.708696516
10221716,3.708546333
10801226,3.708537083
11020314,3.708381429
10843340,3.7069347
10816492,3.706799953
10816172,3.706757939
10973758,3.706484791
1204263,3.705793716
1200601,3.705230808
10802683,3.704996152
10880005,3.704679061
10826382,3.704449731
