Numero de Empleado ,Conocimiento del entorno empresarial,Practica lo que se predica,Enfoque a resultados,Conocimiento de si mismo,Cooperación proactiva,Iniciativa
10294035,4.8,4.8,4.8,3.8,4.8,4.8
10570511,3.8,4.8,3.8,4.3,4.8,4.8
10823006,4.3,4.8,3.8,3.8,3.8,4.8
10729827,3.3,3.8,3.8,3.8,3.8,3.2
10877035,3.8,3.8,2.8,3.8,3.3,3.8
1206825,4.3,4.8,3.8,3.7,4.3,3.8
10990411,3.6,3.8,3.6,3.6,3.8,3.6
181785,2.8,2.8,3.6,3.6,3.7,3.7
10761860,4.6,4.8,4.8,4.6,4.7,4.8
10964876,3.6,3.8,2.8,3.2,3.6,3.2
10101481,3.2,4.8,3.8,3.6,3.8,3.8
1206204,3.8,4.8,3.8,3.8,4.3,2.8
10843341,2.6,3.6,1.8,2.8,2.8,3.3
10813223,4.3,4.8,3.8,3.7,4.6,3.8
10894760,4.3,4.8,3.8,3.8,4.8,3.8
1201111,3.8,3.3,3.8,3.8,3.8,3.8
10780593,3.8,4.3,3.8,3.3,3.8,3.7
10341295,4.1,4.8,3.8,3.8,3.8,4.8
10784817,3.8,3.8,3.8,3.6,3.6,3.7
11004895,4.7,3.3,4.8,3.8,3.8,3.8
10789190,4.8,4.8,4.8,3.8,4.8,4.8
10913917,4.8,4.8,3.8,3.6,3.8,3.8
10461358,4.3,3.8,3.8,3.7,3.8,3.8
10672917,4.7,4.8,4.8,4.8,4.8,4.8
10982370,4.4,4.6,4.4,3.4,2.9,3.4
10750511,4.6,4.7,4.6,4.7,4.6,4.6
10952442,3.9,4.8,3.6,4.8,4.7,4.4
10764395,3.3,4.8,2.8,3.8,4.3,3.7
1200724,4.6,4.8,4.6,4.7,4.7,4.6
10619061,4.6,4.7,4.6,4.7,4.6,4.1
10210657,4.6,4.6,3.6,3.6,4.7,4.1
10914399,4.3,4.8,3.8,3.8,3.8,2.8
10910334,4.8,4.8,3.8,3.6,4.3,3.8
10599055,4.8,4.8,2.6,2.8,3.6,2.6
1203799,4.8,4.8,2.8,2.8,3.8,2.8
10856710,4.8,4.8,3.8,3.8,4.7,4.2
10921714,4.6,4.8,4.6,4.7,3.6,4.7
1290232,4.6,4.8,4.6,4.6,4.6,4.7
10026180,4.8,4.8,4.8,4.7,4.8,4.8
10998622,4.8,4.8,4.8,4.8,4.8,4.8
